Temperature,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Chloride,Nitrate
25.0,7.2,204.9,20791.3,7.3,,564.3,10.3,87.0,3.0,0,50.0,0
26.0,3.7,129.4,18630.0,6.6,285.2,592.8,15.1,56.3,4.5,0,55.0,4
24.0,8.0,224.2,19909.5,9.2,337.6,,16.8,66.4,3.0,0,45.0,2
27.0,8.3,214.3,22018.4,8.0,356.8,363.2,18.4,100.3,4.6,0,60.0,3
28.0,9.0,181.1,17978.9,6.5,310.1,398.4,11.5,31.9,4.0,0,53.0,0
23.0,5.5,188.3,28748.6,7.5,326.6,280.4,8.3,54.9,2.5,0,52.0,2
26.5,10.2,248.0,28749.7,7.5,393.6,283.6,13.7,84.6,2.6,0,57.0,3
24.5,8.6,203.3,13672.0,4.5,303.3,474.6,12.3,62.7,4.4,0,49.0,4
29.0,7.4,118.9,14285.5,7.8,268.6,389.3,12.7,53.9,3.5,0,62.0,1
25.5,11.1,227.2,25484.5,9.0,404.0,563.8,17.9,71.9,4.3,0,48.0,0
27.2,6.9,195.8,27890.2,8.3,341.7,529.6,14.2,76.8,3.8,0,57.5,3
25.8,7.8,170.6,21340.5,6.1,295.4,457.3,10.8,58.9,2.8,0,52.3,2
24.7,7.1,240.9,19500.8,7.2,374.9,580.2,16.5,94.2,4.1,0,49.8,0
26.3,8.4,199.2,24155.9,5.8,312.6,397.5,13.6,65.7,2.3,0,56.9,1
23.9,6.6,152.4,33210.7,9.7,355.2,413.7,9.5,47.5,2.9,0,47.6,4
27.6,8.2,213.7,27780.4,7.9,384.3,479.1,14.8,79.1,3.3,0,58.7,3
25.4,7.5,186.1,16905.2,6.3,328.7,322.8,11.3,45.6,3.5,0,51.1,2
24.2,9.2,225.3,19290.1,8.5,363.8,449.6,15.7,85.3,4.4,0,47.9,4
28.3,7.7,176.8,20685.6,6.7,309.6,581.9,12.9,61.2,2.7,0,60.4,0
26.1,6.8,197.5,27690.0,6.9,342.2,399.4,14.1,70.6,3.7,0,53.6,1
23.1,7.2,185.5,22456.9,6.5,325.8,480.6,13.2,68.7,2.6,0,49.7,1
26.7,8.0,206.3,19876.3,8.2,372.5,558.7,15.6,83.4,3.9,0,54.9,2
24.5,7.4,170.9,18734.2,5.9,303.9,415.2,12.1,62.3,2.4,0,47.3,3
27.9,7.9,193.6,26298.4,7.8,341.2,520.5,14.8,77.9,3.6,0,52.8,4
25.2,6.7,180.7,31745.6,9.1,359.6,392.3,10.7,54.2,3.1,0,48.5,0
23.8,7.5,215.6,20137.1,7.0,389.1,583.4,15.8,80.5,4.0,0,51.2,1
26.5,7.8,188.2,18790.5,6.2,331.5,446.8,13.4,66.5,2.8,0,50.9,2
24.3,8.6,224.7,21458.9,8.8,376.3,596.9,16.2,88.7,4.3,0,48.9,3
28.7,7.3,176.4,23009.7,6.6,313.7,516.1,14.5,72.1,3.3,0,55.7,4
25.8,7.1,201.9,27785.2,7.1,351.9,399.6,12.8,63.9,2.7,0,52.4,1
27.4,7.9,230.8,18932.6,8.3,355.4,530.2,14.9,79.6,3.7,0,53.6,2
24.6,6.5,195.1,24159.8,7.2,321.7,472.3,13.1,67.5,2.5,0,50.3,3
28.1,8.2,213.6,20541.5,8.7,386.2,565.8,15.5,84.8,3.9,0,55.2,4
25.3,7.3,175.3,27500.2,6.8,342.5,415.6,11.9,60.8,2.8,0,48.7,1
26.9,7.6,190.9,21458.1,7.9,359.8,491.7,14.1,73.5,3.2,0,52.1,2
23.7,8.0,204.2,19856.3,7.4,365.3,523.4,14.6,78.2,3.6,0,51.0,3
27.2,7.4,187.5,18637.9,6.5,331.8,461.5,13.0,65.3,2.7,0,49.5,4
24.8,8.5,222.4,22648.7,8.5,382.7,552.6,15.3,82.5,3.8,0,54.1,1
29.5,7.2,167.9,23794.5,7.0,313.4,508.9,14.2,74.7,3.3,0,51.8,2
25.6,7.8,198.5,24766.2,7.3,346.1,485.2,13.6,68.9,2.6,0,50.8,3
26.5,7.1,195.8,18942.9,7.6,359.2,526.7,14.8,78.5,3.5,0,53.2,2
24.3,6.8,180.6,23560.4,7.1,325.6,461.3,12.9,66.7,2.4,0,51.1,3
28.7,8.4,210.3,20120.7,8.9,379.4,547.5,15.1,81.4,3.7,0,54.8,4
25.9,7.6,184.7,26890.8,7.9,347.8,482.1,13.5,70.6,2.9,0,50.5,1
27.3,7.9,192.4,21468.1,8.3,362.1,515.8,14.5,76.8,3.3,0,52.7,2
23.9,7.5,198.1,19673.5,7.4,355.6,531.9,14.9,79.3,3.6,0,51.3,3
26.8,7.3,189.2,19362.9,6.7,338.9,475.6,13.3,67.9,2.8,0,50.2,4
24.6,8.2,216.6,21995.8,8.7,376.8,542.3,15.0,82.2,3.8,0,54.4,1
29.2,7.0,174.5,24587.4,7.1,317.8,502.1,14.1,75.4,3.2,0,51.6,2
25.8,7.7,192.7,25468.3,7.6,351.3,488.7,13.7,69.7,2.7,0,50.7,3
27.5,7.8,201.2,21237.9,7.2,363.9,526.4,14.6,77.1,3.4,0,52.9,4
26.4,7.2,190.3,19655.6,6.9,342.4,469.5,13.1,66.8,2.9,0,51.4,1
23.5,7.4,195.6,19999.3,7.5,358.7,525.7,14.7,78.0,3.6,0,51.7,2
28.4,8.0,209.7,20145.8,8.4,378.3,542.7,15.2,81.7,3.8,0,54.2,3
25.7,7.5,188.9,20987.4,7.3,350.5,485.9,13.8,70.2,2.6,0,50.6,4
27.1,7.1,194.3,20312.5,7.7,365.2,521.5,14.4,76.3,3.2,0,52.6,1
24.9,8.5,221.7,21659.6,8.6,384.6,556.4,15.4,83.0,3.9,0,54.5,2
29.7,7.3,172.4,24057.3,7.2,317.9,504.8,14.3,75.9,3.3,0,51.9,3
25.9,7.9,197.8,24987.2,7.5,348.1,482.5,13.6,69.3,2.7,0,50.9,4
27.4,7.1,193.5,21678.9,7.8,363.6,517.9,14.3,76.5,3.3,0,52.8,1
25.0, 7.2, 204.9, 20791.3, 7.3, 368.5, 564.3, 10.3, 87.0, 3.0, 0, 50.0, 0
